Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),SPACE1-1:Zone Lights Total Heating Energy [J](Hourly),SPACE2-1:Zone Lights Total Heating Energy [J](Hourly),SPACE3-1:Zone Lights Total Heating Energy [J](Hourly),SPACE4-1:Zone Lights Total Heating Energy [J](Hourly),SPACE5-1:Zone Lights Total Heating Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE1-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly),SPACE3-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly) 
 01/19  01:00:00,2.0125,83.125,5.2,141.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.8394227915986,17.6348724772864,16.9129959827016,17.6656957817592,16.9115160816524,18.8866497315464,0.0,0.0 
 01/19  02:00:00,2.2,82.,5.2875,16.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.6188228044908,17.5772969858525,16.8615190040316,17.605348949265,16.8609751313449,18.8067680303718,0.0,0.0 
 01/19  03:00:00,2.2,82.,4.7,232.5,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.4583239373063,17.5337128180997,16.8269297835891,17.5605336302737,16.8276848095105,18.7532527151617,0.0,0.0 
 01/19  04:00:00,1.8875,82.,4.7875,147.5,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.3459524041457,17.4986278904083,16.7964356629565,17.5249737780798,16.7980848709911,18.7197613957218,0.0,0.0 
 01/19  05:00:00,1.325,82.,4.5125,232.5,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.2504571015177,17.4489887721082,16.753009526281,17.4759185737677,16.7557750843347,18.6877755153968,0.0,0.0 
 01/19  06:00:00,1.475,80.125,4.7875,353.75,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.1661281251074,17.4182584576882,16.7236621351809,17.4448022958717,16.7270697878847,18.6652069082119,0.0,0.0 
 01/19  07:00:00,1.325,80.875,4.825,137.5,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.0932936137093,17.3934189921786,16.7013193868151,17.4196402661432,16.705201019758,18.641189359011,0.0,0.0 
 01/19  08:00:00,1.1,74.5,4.975,222.5,0.75,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.2788933681154,21.5117919951113,21.8437920077546,21.5111446134347,21.8549239482707,21.5110487665007,3744.02082839442,3614.39310680164 
 01/19  09:00:00,1.1,68.125,6.1375,137.5,1.,11.,5.,11.,5.,20.,5132160.,2216160.,5132160.,2216160.,9603360.,18.2742081594835,22.0462616514938,22.0007789139851,22.039379552772,22.0009487231293,22.5330454784939,880.182818972702,709.531522395995 
 01/19  10:00:00,1.1,70.75,5.3875,10.,1.,11.,5.,11.,5.,20.,5417280.,2339280.,5417280.,2339280.,10136880.,18.9853858576079,22.0096334188529,22.043512550951,22.1205145332174,22.0002672366232,23.7536610045923,83.1622226523161,0.0 
